
2024/01/25 (00:08:53) | ===> btop++ v.1.2.13
2024/08/08 (18:43:27) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/08 (18:43:27) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/08 (18:43:27) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/08 (18:43:27) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/08 (18:43:27) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/08 (18:43:27) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/08 (18:43:27) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/08 (18:46:43) | ===> btop++ v.1.3.2
2024/08/08 (18:46:43) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/08 (18:46:43) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/08 (18:46:43) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/08 (18:46:43) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/08 (18:46:43) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/08 (18:46:43) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/08 (18:46:43) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/08 (18:49:35) | ===> btop++ v.1.3.2
2024/08/08 (18:49:35) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/08 (18:49:35) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/08 (18:49:35) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/08 (18:49:35) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/08 (18:49:35) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/08 (18:49:35) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/08 (18:49:35) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/08 (18:50:55) | ===> btop++ v.1.3.2
2024/08/08 (18:50:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/08 (18:50:55) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/08 (18:50:55) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/08 (18:50:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/08 (18:50:55) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/08 (18:50:55) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/08 (18:50:55) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/08 (19:05:42) | ===> btop++ v.1.3.2
2024/08/08 (19:05:42) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/08 (19:05:42) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/08 (19:05:42) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/08 (19:05:42) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/08 (19:05:42) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/08 (19:05:42) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/08 (19:05:42) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/08 (19:12:04) | ===> btop++ v.1.3.2
2024/08/08 (19:12:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/08 (19:12:04) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/08 (19:12:04) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/08 (19:12:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/08 (19:12:04) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/08 (19:12:04) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/08 (19:12:04) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/09 (09:25:12) | ===> btop++ v.1.3.2
2024/08/09 (09:25:12) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/09 (09:25:12) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/09 (09:25:12) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/09 (09:25:12) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/09 (09:25:12) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/09 (09:25:12) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/09 (09:25:12) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/09 (10:11:06) | ===> btop++ v.1.3.2
2024/08/09 (10:11:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/09 (10:11:06) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/09 (10:11:06) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/09 (10:11:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/09 (10:11:06) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/09 (10:11:06) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/09 (10:11:06) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/09 (12:25:27) | ===> btop++ v.1.3.2
2024/08/09 (12:25:27) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/09 (12:25:27) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/09 (12:25:27) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/09 (12:25:27) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/09 (12:25:27) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/09 (12:25:27) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/09 (12:25:27) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/09 (15:35:35) | ===> btop++ v.1.3.2
2024/08/09 (15:35:35) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/09 (15:35:35) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/09 (15:35:35) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/09 (15:35:35) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/09 (15:35:35) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/09 (15:35:35) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/09 (15:35:35) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/19 (14:57:42) | ===> btop++ v.1.3.2
2024/08/19 (14:57:42) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/19 (14:57:43) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/19 (14:57:43) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/19 (14:57:43) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/19 (14:57:43) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/19 (14:57:43) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/19 (14:57:43) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/19 (16:20:42) | ===> btop++ v.1.3.2
2024/08/19 (16:20:42) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/19 (16:20:42) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/19 (16:20:42) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/19 (16:20:42) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/19 (16:20:42) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/19 (16:20:42) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/19 (16:20:42) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/19 (22:20:00) | ===> btop++ v.1.3.2
2024/08/19 (22:20:00) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/19 (22:20:00) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/19 (22:20:00) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/19 (22:20:00) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/19 (22:20:00) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/19 (22:20:00) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/19 (22:20:00) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/19 (23:35:35) | ===> btop++ v.1.3.2
2024/08/19 (23:35:35) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/19 (23:35:35) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/19 (23:35:35) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/19 (23:35:35) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/19 (23:35:35) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/19 (23:35:35) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/19 (23:35:35) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/20 (18:36:11) | ===> btop++ v.1.3.2
2024/08/20 (18:36:11) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/20 (18:36:11) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/20 (18:36:11) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/20 (18:36:11) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/20 (18:36:11) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/20 (18:36:11) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/20 (18:36:11) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/22 (10:46:30) | ===> btop++ v.1.3.2
2024/08/22 (10:46:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/22 (10:46:30) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/22 (10:46:30) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/22 (10:46:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/22 (10:46:30) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/22 (10:46:30) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/22 (10:46:30) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/22 (11:03:59) | ===> btop++ v.1.3.2
2024/08/22 (11:03:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/22 (11:03:59) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/22 (11:03:59) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/22 (11:03:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/22 (11:03:59) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/22 (11:03:59) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/22 (11:03:59) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/22 (11:37:39) | ===> btop++ v.1.3.2
2024/08/22 (11:37:39) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/22 (11:37:39) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/22 (11:37:39) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/22 (11:37:39) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/22 (11:37:39) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/22 (11:37:39) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/22 (11:37:39) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/22 (13:20:50) | ===> btop++ v.1.3.2
2024/08/22 (13:20:50) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/22 (13:20:50) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/22 (13:20:50) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/22 (13:20:50) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/22 (13:20:50) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/22 (13:20:50) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/22 (13:20:50) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/22 (15:21:19) | ===> btop++ v.1.3.2
2024/08/22 (15:21:19) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/22 (15:21:19) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/22 (15:21:19) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/22 (15:21:19) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/22 (15:21:19) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/22 (15:21:19) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/22 (15:21:19) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/22 (18:42:48) | ===> btop++ v.1.3.2
2024/08/22 (18:42:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/22 (18:42:48) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/22 (18:42:48) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/22 (18:42:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/22 (18:42:48) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/22 (18:42:48) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/22 (18:42:48) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/22 (19:14:40) | ===> btop++ v.1.3.2
2024/08/22 (19:14:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/22 (19:14:40) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/22 (19:14:40) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/22 (19:14:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/22 (19:14:40) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/22 (19:14:40) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/22 (19:14:40) | WARNING: ROCm SMI: Failed to get PCIe throughput
